"id";"cesky";"anglicky";"nemecky";"kategorie"
5705;V kolik hodin;what time;zu welcher Uhrzeit;Zájmeno
5706;V kolik hodin;What time;Wann;Zájmeno
5707;objímáme, objímám, objímat, objal, obejmout, objímá, objímají, tulí, obalit;to embrace [embraced, embraced];Umarmen [umarmte, umarmt];Sloveso
5708;objetí, obejmutí;an embrace;die Umarmung;Podstatné jméno
5709;obrátit, otočit, otáčím;to turn [turned, turned];wenden [gewendet (ist), wandte];Sloveso
5710;přebookovat, přeúčtovat, změnit rezervaci, přeobjednat;to rebook;umbuchen;Sloveso
5711;prostředích, prostředí, okolí, zbytku, prostředím;surroundings;die Umgebung;Podstatné jméno
5712;průzkumu, průzkum, ankety;a survey;die Umfrage;Podstatné jméno
5713;obklopit, obklopená, obklopuje, obklopují, obalit;to surround;umgeben [umgeben, umgab, wird umgeben];Sloveso
5714;prostředích, okolí, prostředím;an environment;die Umgebung;Podstatné jméno
5715;zacházíme, vyhýbáš, kolovala;to go;gehen [gegangen (ist), ging];Sloveso
5716;obrátit, otočím, obracíš;to turn [turned, turned];wenden [gewendet (ist), wandte];Sloveso
5717;šatna, šatny, šatnu;a cloakroom;die Umkleide;Podstatné jméno
5718;kabině, kabinky, kabince, kabina, šatnu, kabinku, převlékací, zkušební, kabinkou;a booth;die Kabine;Podstatné jméno
5719;šatna, převlékárna, šatní místnost, šatovna;a changing room;die Umkleidekabine;Podstatné jméno
5720;předměstí, Předměstí;a suburb;das Vorort;Podstatné jméno
5721;přeučit, rekvalifikovat, rekvalifikoval, přeškolit, rekvalifikuje;to retrain;umqualifizieren [umqualifiziert, qualifizierte, wird umqualifiziert];Sloveso
5722;rozhlédnout se, prohlížet se, ohlédnout se, rozhlížet se, prohlédnout si, porozhlédnout;to look around;sich umsehen [umgesehen (ist), sah sich um];Sloveso
5723;uskutečnit, realizuje;to realize;realisieren [realisiert, realisierte, wird realisiert];Sloveso
5724;realizace, provedení, implementace, přeměna, převod, uskutečnění;a realization;die Realisierung;Podstatné jméno
5725;okolnost, podmínka, situace, záležitost, obtíž, faktor;a circumstance;die Umstände;Podstatné jméno
5726;přestoupit, přestupovat;to switch;wechseln  [gewchselt, wechselte, wird gewechselt];Sloveso
5727;přemístit, přemístíme, přestavět, Přemístit, přestavit;to move;verschieben [verschoben (ist)];Sloveso
5728;přestup;a transfer;der Übergang;Podstatné jméno
5729;Výměna, výměnu, výměna;an exchange;die Tausch;Podstatné jméno
5730;vyměnit, měním, vyměňte;to exchange [exchanged, exchanged];tauschen [getauscht (ist), tauschte];Sloveso
5731;objížďku, obcházka, cesta navíc, okliky, objížďka, zajížďku;a detour;die Umleitung;Podstatné jméno
5732;životní prostředí;the environment;die Lebensumwelt;Podstatné jméno
5733;šetrné, ekologicky, ekologická, klimaticky, environmentálně, ohleduplné, udržitelné;sustainable;nachhaltig;Přídavné jméno
5734;ochranu životního prostředí;environmental protection;Umweltschutz;Fráze
5735;znečištění životního prostředí;environmental pollution;Umweltverschmutzung;Fráze
5736;stěhovat;to move;umziehen [umgezogen (ist), zog];Sloveso
5737;stěhování, stěhováním;a move;der Umzug;Podstatné jméno
5738;nezávislá, nezávislý, nezávislé, svobodné, nezávislí, samostatná;independent;unabhängig;Přídavné jméno
5739;nezávislost, autonomie, samostatnost, svoboda, nezávislosti;independence;die Unabhängigkeit;Podstatné jméno
5740;nevhodný, nepřiměřený, nepatřičný, nevhodně;inappropriate;ungeeignet;Přídavné jméno
5741;nevhodné, nevhodnou, nevhodná;unsuitable;ungeeignet;Přídavné jméno
5742;nutně;necessarily;notwendig;Příslovce
5743;neznám, neznámý, neznámé, neznámých;unknown;unbekannt;Přídavné jméno
5744;nepohodlný, nepohodlná, nepohodlné;uncomfortable;unbequem;Přídavné jméno
5745;nezasažený, nedotčené, nedotčený, nedotčeně, neporušený, nedotčených, neovlivněný, nedotčená;untouched;ungetastet;Přídavné jméno
5746;a ty;you;du;Zájmeno
5747;nečekaných, nečekaná, neočekávaně, překvapivá, nečekané, neočekávaná, překvapivé, nečekaně, neočekávané;unexpected;unerwartet;Přídavné jméno
5748;neschopní, neschopná, neschopný;incapable;unfähig;Přídavné jméno
5749;nespravedlivé, nespravedlivý, nespravedlivě, nespravedlivým;unfair;ungerecht;Přídavné jméno
5750;nezdvořile, nepříjemně, nevlídná, nezdvořilé, neuctivě;rude;unhöflich;Přídavné jméno
5751;netrpělivým, netrpělivě, netrpělivý, netrpělivá, netrpěliví, netrpělivými;impatient;ungeduldig;Přídavné jméno
5752;neškodné, neškodný;harmless;harmlos;Přídavné jméno
5753;nevyřešených, nevyřešené, nevyřešený, nevyřešeno;unresolved;ungelöst;Přídavné jméno
5754;nepoživatelným, nepoživatelné, nepoživatelná, nepoživatelně, nepoživatelnými, nepoživatelnou, nepoživatelný, nejedlé;inedible;uneinnehmbar;Přídavné jméno
5755;neotevřená, neotevřený;unopened;ungepföffnet;Přídavné jméno
5756;neplánované;unplanned;unplanmäßig;Přídavné jméno
5757;nespravedlivý, nespravedlivě, nespravedlivým;unfair;ungerecht;Přídavné jméno
5758;nezdravě;unhealthily;ungesund;Příslovce
5759;neobvyklá, divného, podivnou;unusual;seltsam;Přídavné jméno
5760;nezvykle, nezvyklé, nezvyklý;unusual;ungewöhnlich;Přídavné jméno
5761;unglaublich, šílené, neuvěřitelné, neuvěřitelně, neuvěřitelný, strašně;unbelievable;unglaublich;Přídavné jméno
5762;rozdíl, nerovnost, nerovnosti;a difference;die Differenz;Podstatné jméno
5763;politováníhodnou, nespokojený, nešťastní, nešťastná, nešťastný, politováníhodné, politováníhodná, nespokojen, politováníhodný;regrettable;bedauernswert;Přídavné jméno
5764;bezcenné;worthless;wertlos;Přídavné jméno
5765;nevýhodný, nevhodný, nepříznivá, nepříznivý, nevýhodné, neblahý, nepříjemná;unfavorable;ungünstig;Přídavné jméno
5766;strašidelné, strašidelný, strašidelně, děsivý, hrozivý, hrozivě;frightening;erschreckend;Přídavné jméno
5767;nezdvořilá, nezdvořile, nezdvořilý, nezdvořilou, neuctivý, nezdvořilé, nezdvořilí, neuctivě;rude;unhöflich;Přídavné jméno
5768;vesmírem, vesmír, vesmíru, vesmírnou;the universe;der Weltraum;Podstatné jméno
5769;nejasný, nejasné;unclear;unbestimmt;Přídavné jméno
5770;nekomplikované, nekomplikovaná, jednoduchými, jednodušším, nenáročná, nenáročné;simple;einfach;Přídavné jméno
5771;plevele, plevely, plevel, plevelem;weeds;Unkraut;Podstatné jméno
5772;přímým, přímí, rovnou, bezprostředně;directly;direkt;Příslovce
5773;nereálné, nemožné, nemožná;unreal;unreal;Přídavné jméno
5774;zbytečnou, zbytečná, zbytečných, zbytečné, zbytečnému, zbytečný, zbytečně, zbytečným;superfluous;überflüssig;Přídavné jméno
5775;nepořádný;messy;unggeordnet;Přídavné jméno
5776;nepořádku, nepořádek;disorder;die Unordnung;Podstatné jméno
5777;nestranně, objektivně, nepředpojatý;objectively;objektivlich;Příslovce
5778;nevhodný, nevhodné, nevhodnou, nezdvořilé, nevhodná;inappropriate;ungeeignet;Přídavné jméno
5779;nepraktická, nepraktické, nepraktický, blbou;impractical;unpraktisch;Přídavné jméno
5780;nepunktuálně, nepunktuální;unpunctually;unpünktlich;Příslovce
5781;nerealistické, nereálné, nereálný, nerealistický, přehnaný, nerealistická;unrealistic;unrealistisch;Přídavné jméno
5782;nepravidelně, nepravidelné;irregularly;unregelmäßig;Příslovce
5783;nevinná, nevinný, nevinní, nevinen, nevinné;innocent;unschuldig;Přídavné jméno
5784;naše;our;unser;Přídavné jméno
5785;nejistou, pochybná, nebezpečno, pochybně, znejistěl, nejistá, nestabilní, nejistým, nejistě, nejistý, pochybné;uncertain;unsicher;Přídavné jméno
5786;neviditelná, neviditelný;invisible;unsichtbar;Přídavné jméno
5787;dole;down;unten;Příslovce
5788;během týdne;during the week;während der Woche;Fráze
5789;předloktí, nadloktí;the forearm;das Unterarm;Podstatné jméno
5790;narušuje, rušeni, zastavujeme, přerušit, zastavila, rušil, zastavili, rušen, zastavil, narušit;to disrupt;stören [gestört (ist), störte];Sloveso
5791;ubytování, umístění, uložení;accommodation;die Unterkunft;Podstatné jméno
5792;pod, níže, dole;below;unten;Příslovce
5793;baví;to amuse;unterhalten [unterhalten (hat/ist), unterhielt];Sloveso
5794;povídáte, udržované, bavil, bavili, pobavit, uživili;to entertain;unterhalten [unterhalten (hat), unterhielt];Sloveso
5795;vtipnými, zábavná, vtipných, zábavné, zábavný, zábavnou;funny;lustig;Přídavné jméno
5796;zábava, zábavu, rozhovory, dialog;entertainment;die Unterhaltung;Podstatné jméno
5797;podložka, podložce, podklad;a pad;die Unterlage;Podstatné jméno
5798;podnikl, podnikne, pokuste, podnikají, podnikni, podnikneme, podnikla, podnikat, podniknout, pokusili;to undertake;unternehmen [unternommen hat/ist, unternahm];Sloveso
5799;podnikatel, zaměstnavatel;an entrepreneur, an employer;der Unternehmer, der Arbeitgeber;Podstatné jméno
5800;podniká, podnikáte, podnikne;to undertake [undertakes, undertaken];unternehmen [unternehmen (hat/ist), unternahm];Sloveso
5801;hodině, vyučování, hodina, výuce, výuka, výuku;a lesson;die Stunde;Podstatné jméno
5802;přehlížet, podceňovat, podcenit, nepodceňuj;to underestimate;unterzuschätzen;Sloveso
5803;rozdíl, rozdílu, Rozdíl, nerovnosti;a difference;der Unterschied;Podstatné jméno
5804;rozmanitá, odlišný, jiném, různě, odlišná, odlišné, různí;diverse;vielfältig;Přídavné jméno
5805;podepsané, podepsány, podepsal, podepsali, podepsal(a), podepsán;to sign [signed, signed];unterschreiben [unterschrieben (ist), unterschrieb];Sloveso
5806;podpis;a signature;die Unterschrift;Podstatné jméno
5807;podtrhuje, zdůraznila, zdůrazni;to emphasize;betonen [betont (ist), betonte];Sloveso
5808;podporující, podpůrná, podpůrně;supporting;unterstützend;Přídavné jméno
5809;příznivec, podporovatelů, podporovatel, podporovatelé, příznivců, příznivci, podporovatele, spojenců;a supporter;der Unterstützer;Podstatné jméno
5810;podpora, nápovědě, podpoře, podporou, nápovědu;support;die Unterstützung;Podstatné jméno
5811;vyšetřit;to investigate;untersuchen [untersucht, untersuchte, wird untersucht];Sloveso
5812;vyšetření;an examination;die Untersuchung;Podstatné jméno
5813;popisku, titulky, popisek;a description;die Beschreibung;Podstatné jméno
5814;spodní prádlo;underwear;die Unterwäsche;Podstatné jméno
5815;na cestě;on the way;auf dem Weg;Fráze
5816;nepřetržitě;continuously;ununterbrochen;Příslovce
5817;nezapomenutelně, nezapomenutelné, nezapomenutelný, nezapomenutelnou;unforgettable;unvergesslich;Přídavné jméno
5818;nezranil, nezranění, nezraněná, nezraněný, nezraněné;uninjured;verletzt;Přídavné jméno
5819;nevyhnutelný, nevyhnutelné, nutno;inevitable;unvermeidlich;Přídavné jméno
5820;neopatrný, indiskrétní;careless;ungeschickt;Přídavné jméno
5821;nepravdivý, nepravdivé, nepravdivých;false;falsch;Přídavné jméno
5822;nepravděpodobně, nepravděpodobné;unlikely;unwahrscheinlich;Přídavné jméno
5823;nepočasí, nepohody;bad weather;das Unwetter;Fráze
5824;bouře;a storm;die Sturm;Podstatné jméno
5825;nevýznamný, nedůležitý, bezvýznamný, nepodstatný, marginální, lhostejný;unimportant;unwichtig;Přídavné jméno
5826;neúčinná, neúčinný, neefektivní, bezúčinný, neúčinné;ineffective;ineffektiv;Přídavné jméno
5827;nespokojených, nespokojený, nespokojení, nespokojená, nespokojen;dissatisfied;unzufrieden;Přídavné jméno
5828;nespokojenost, nespokojenosti;dissatisfaction;die Unzufriedenheit;Podstatné jméno
5829;bujný, bujaré, hojně, bujarý, bujará, štědře;abundant;reich;Přídavné jméno
5830;Ups;Oops;Ups;Citoslovce
5831;příčinu, spouštěčem, příčiny, důvodem, příčinou;a cause;die Ursache;Podstatné jméno
5832;vir, Původ, původ, zdrojů, pramene, zdrojem;a source;die Quelle;Podstatné jméno
5833;původní, původně, nedotčeně;original;ursprünglich;Přídavné jméno
5834;rozsudek, soudní rozhodnutí, úsudek, verdikt, rozhodnutí;a judgment;das Urteil;Podstatné jméno
5835;vázu, váza;a vase;die Vase;Podstatné jméno
5836;váza, Váza, vázu, vázy, váze;a vase;die Vase;Podstatné jméno
5837;otcové, Otcové, tatínkům;fathers;die Väter;Podstatné jméno
5838;Otcové, otcové;fathers;die Väter;Podstatné jméno
5839;otče, otcové, tátovi, otcem, otec, tatínkům, tátům;a father;der Vater;Podstatné jméno
5840;vegansky, veganský;vegan;vegan;Přídavné jméno
5841;vegani, vegana, vegan;a vegan;der Veganer;Podstatné jméno
5842;vegetariáni, vegetarián, vegetariány;a vegetarian;ein Vegetarier;Podstatné jméno
5843;Venuše, venuši;Venus;die Venus;Podstatné jméno
5844;dohodnou, domluvilo, domlouvá, domluví, domluvíme, domluvila, domlouvám, domluvit, vyjednávat;to agree;vereinbaren [vereinbart];Sloveso
5845;domluveni, domluvený, domluvení, domluvená;agreed;vereinbart;Přídavné jméno
5846;rozloučit, rozloučila, rozloučili, rozloučím;to say goodbye [said goodbye, said goodbye];sich verabschieden [verabschiedet sich, verabschiedete sich, wird sich verabschieden];Sloveso
5847;změně, změna, korekce, změnu, změny, transformace;a change;die Veränderung;Podstatné jméno
5848;vystrašená, vystrašené, vystrašený, vystrašení, vystrašeně, zastrašený;frightened;verängstigt;Přídavné jméno
5849;zorganizuji, pořádat, uspořádají, pořádáte, pořádají, zorganizuje, zorganizována;to organize [organized, organized];organisieren [organisiert, organisierte];Sloveso
5850;semináři, akce, událost, akcí, pořadu, večeru, akcích, show, událostí;a seminar;ein Seminar;Podstatné jméno
5851;místo konání, místě konání, konání;the place of the event;der Ort des Geschehens;Podstatné jméno
5852;organizátor akcí, plánovač akcí, koordinátor;an event organizer;der Veranstalter;Podstatné jméno
5853;odpovědný, zodpovědní, zodpovědný, odpovědnou;responsible;verantwortlich;Přídavné jméno
5854;odpovědný;responsible;verantwortlich;Přídavné jméno
5855;odpovědnost, odpovědnosti, odpovědností;responsibility;die Verantwortung;Podstatné jméno
5856;svědomitý, odpovědný, zodpovědný, uvědoměle;conscious;bewusst;Přídavné jméno
5857;nezodpovědné;irresponsible;unverantwortlich;Přídavné jméno
5858;zpracovat, zpracovávat, zpracování;to process [processed, processed];verarbeiten [verarbeitet, verarbeitete];Sloveso
5859;rozzlobit;to upset;verärgern [verärgert (ist), verärgerte];Sloveso
5860;rozčiluje, rozhněvaný, rozhněvaná;angry;verärgert;Přídavné jméno
5861;svazu, sádra, sdružení, sádrou, svaz, spolků;a union;der Verband;Podstatné jméno
5862;lékárničku;a medicine cabinet;die Apotheke;Podstatné jméno
5863;oprav, zlepšily, posílili, zlepšujeme, zvyšuje, obohacovaly, vylepšená, zlepšit, učiníme, zlepšují, zlepšovat, zvyšují, zlepšuji, zlepšený, zlepšil, zlepšená;to improve [improved, improved];verbessern [verbessert (hat/ist), verbesserte];Sloveso
5864;zlepšuje, zlepší, zlepšilo, vylepšená, zlepšila, zlepšený, zlepšujete, zlepšená;to improve [improves, improved];verbessern [verbessert (hat), verbesserte];Sloveso
5865;korekturu, zlepšení, oprava;a correction;die Korrektur;Podstatné jméno
5866;spojit, připojte, navazovat, zapoj, spojujeme, navázal, propojuji, spojil, zapojte, propojují;to connect;verbinden [verbunden, verband];Sloveso
5867;závazný, platných, závaznou, povinná, závazné, platné, závazná, platného;binding;bindend;Přídavné jméno
5868;propojení, spoji, spojení, odkazy;a connection;die Verbindung;Podstatné jméno
